Description,groupTreatment
"נושא: תכנית מספר 613-0310672 שלום רב,  התכנית שבנדון  יש לפרסם הודעה בדבר שינויים לפי סעיף 106 ב' לחוק.  בדרישות, חסרה דרישה 4416 – פרסום נוסח הודעה לפי 106 (ב) ע""ג שלט 7930 – הפקת הודעה בדבר הפקדת...",צוות הדרכה והטמעה אפליקטיבי
נושא: דחוף - החתמת תכנית במעקב ובקרה שלום  משום מה לא מוצא לי את התכנית – צריכה להחתים אותה בדחיפות  אפשר לעזרה  תודה  אפרת ,צוות הדרכה והטמעה אפליקטיבי
בהמשך לפנייה מספר I-5240615- היה מצויין שיש לשים לב לסיומת IACHIFA אך לא בוצע  אבקש לתקן את סיומת כתובת מייל של העובד כרמל אליאסים carmelel@iplan.gov.il ל- @iachifa.gov.il  ,צוות טכנאים
"נושא: תקלה במעקב ובקרה שלום.  אני פונה אליכם בעקבות בעיה באפליקציית מעקב ובקרה.  כאשר אני מנסה לעלות קובץ לתוך ישיבות במסמכים מקושרים קופצת לי הודעה מצ""ב צילום מסך.  הבעיה היא רק אצלי, ברגע שאני מנ...",צוות הדרכה והטמעה אפליקטיבי
נושא: היוזר שלי ננעל   נשלח מ-Workspace ONE Boxer ,7878 מרכז שירות ותמיכה טכנולוגית
"שלום רב, אבקש להסדיר את שמות אנשי הקשר הבאים: 1. saritmilman@gmail.com – שרית מילמן, מנהלת תוכנית צוערים לשלטון מקומי וצוערים לתכנון אורבני 2. naama.sarussi@gmail.com – נעמה סרוסי, סגנית מנהלת תוכנ...",צוות טכנאים
"נושא: קריאה היי,  נא להוסיף את אליעד רוכברגר לתפוצות הבאות במערכת ה-SMS: נותני שירותים באגף מערכות מידע – מס' קבוצה 3832 סיסטם אבטחת מידע – מס' קבוצה 4553 מינהל התכנון – מס' קבוצה 4302  תודה.  בברכ...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: לא ניתן להתחבר למחשב שלי, אודה לעזרתכם מחוברת לטרמינל אבל משם לא מצליחה להתחבר למחשב שלה 055138ma ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: בוקר טוב, המסך שלי ירוק. אשמח אם תדריכו אותי כיצד לתקן  בברכה, ------------  זה התחיל רק היום  מהבוקר מצליחה לראות את השולחן העבודה אך המסך בצבע ירוק /אדום  ניסינו לנתק ולחבר מחדש את המסך של ...",7878 מרכז שירות ותמיכה טכנולוגית
"אשמח לשריין מצלמה לוועדת בוחנים למוביל/ת תכניות שיתקיים מחר, יום שני, 8/3/2021 מ9:15-14:00. (יבואו לאסוף) (424 חדר)",צוות טכנאים
נושא: New case opened in Bynet Data Communication: CS0120353   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: פנייתך למרכז התמיכה נסגרה (I-5248001) בוקר טוב  לא ברור מדוע הקריאה נסגרה. הדרישות שביקשתי לכלול אינן קיימות עדיין.  לטיפולכם אודה.  בברכה,  [cid:image001.png 01D709F8.DCE84D30]   בקרו או...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: Case CS0120353 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb4...,7878 מרכז שירות ותמיכה טכנולוגית
נושא:  המדפסת שלי מחוברת למשתמש אחר ממחוז חיפה ומדפיס במחוז צפון 050-6208588 - טראק מהאכיפה מדפיס  [cid:image001.jpg 01D64F90.8FF4D340]  ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא:  שלום אני לא מצליח לסגור שלב 1031 כנירא בגלל שיש שלב פתוח כלשהו אך לא מצליח לאתר את השלב הפתוח לאחר בדיקה לא ניתן לסגור את השלב משום שקיים אירוע 2850 פתוח, תחת האירוע קיימת דרישה 4920 שפתוחה ...",צוות הדרכה והטמעה אפליקטיבי
ליאת פלד מתכננת מחוז חיפה רשומה ב outlook  כמתכנן. אבקש לשנות למתכננת. (בדקנו באקטיב והיא רשומה שם כמתכננת)(מחקנו וכתבנו שוב מתכננת ושמרנו ולא עזר) ,צוות טכנאים
נושא: מבקשת שיגיעו אלי ללשכה המדפסת הצבעונית לא מדפיסה 186Q קומה: 7 חדר : לשכת מנכל   ,צוות טכנאים
נושא: עזרה ברזולוציה/מסך ראשי  היי אני עובדת מהבית . שורת המשימות במערכת  קפצה למעלה ולא מצליחה להחזיר לתצורה הקודמת או לחזור למצב החיצוני (מחוץ למערכת כשהיא ברקע)... אשמח לעזרה..   [cid:image001.p...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: צריכה עזרה בהדפסת טבלת אקסל.תודה   [איריס בודקוב] אתר מינהל התכנון - http:\\www.iplan.gov.il<http://www.iplan.gov.il/Pages/HomePage.aspx>  ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: עדכון חברי ועדה - רעות אלידע 31895  נשלח מ- <טפסים>  ועדה 428  מכתובת מייל: portal@iplan.gov.il <טפסים><http://ishare/forms/_layouts/15/ClickRedirect.aspx?Tag=immediate%5fGenericList%5fSite&T...,7878 מרכז שירות ותמיכה טכנולוגית
"שלום,  אבקש לעדכן את הפרטים המפורטים להלן   לאיש קשר החיצוני שקיים : עדינה דר adina.dar@telaviv.health.gov.il ס/מנהלת המחלקה לבריאות הסביבה  03-5634762, 050-6221069  כתובת: הארבעה 12 ת""א  ",צוות טכנאים
"נושא: קריאה היי,  אני רואה ששולחים לכתובת תמיכה טכנית מינהל התכנון קריאות שלא מתקבלות במרכז התמיכה. נא לבדוק בבקשה.  בברכה,  [cid:image011.png 01D5627F.46ED1990] אליהו פנחסוב רש''צ תמיכה אפליקטיבית...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: תוסף מאור 2010 במאור  נא לפתוח תחת אסנת לינדר.  בברכה,  [cid:image011.png 01D5627F.46ED1990] אליהו פנחסוב רש''צ תמיכה אפליקטיבית אגף בכיר טכנולוגיות דיגיטליות ומידע עם ועולמו 8, ירושלים  ...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: בדיקה   נשלח מ- Minhal Tichnun   מכתובת מייל: iplan@ness-os.com בדיקה ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: עדכון חברי ועדה - ליאור טננבוים 31897  נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il <טפסים><http://ishare/forms/_layouts/15/ClickRedirect.aspx?Tag=immediate%5fGenericList%5fSite&Target=...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: תוצאות אחרונות של הסקר-  בקשת הרשאות לשידור חי מזום   נשלח מ- מערכת הסקרים   מכתובת מייל: survey@gov.il מצורף קובץ אקסל מכווץ המכיל את תוצאות הסקר האחרונות.\t\n קיבל  הרשאה לזום להפנות לזיו ל...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: הסרה מלוח שנה שלום אשמח אם תוכלו להסיר אותי מהזימונים שאני מקבל מלוח ישיבות ותמ""ל עזבתי את הותמל וכיום אני במחוז מרכז  [חתימה נתי]  ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: הודעות חשודות היי, ראו שתי הודעות שקיבלתי ואני פוחדת לפתוח, לא מכירה את השולח הזה NEXUX MODS האם ניתן לפתוח או שלמחוק מייד?  [cid:image002.png 01D71363.5D170A00]  [cid:image001.png 01D71363.0...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: שלום רב, יש לי בעיה בביטול עקוב אחרי שינויים במסמך. נא לחזור אליי.תודה   [איריס בודקוב] אתר מינהל התכנון - http:\\www.iplan.gov.il<http://www.iplan.gov.il/Pages/HomePage.aspx>  ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: New case opened in Bynet Data Communication: CS0120626   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a...,7878 מרכז שירות ותמיכה טכנולוגית
אבקש להחליף בין עמדות המחשב של נילי בוים ואיילת סטפן שניהם בחדר 301. אשמח אם זה יהיה אפשרי היום. ,צוות טכנאים
נושא: התקנה של visio צריכה לעריכת ויזיו שם מחשב rz056344 ip מחשב 10.53.86.104 אני צריכה להתקין על המחשב את Microsoft visio תודה רבה סנדרה בנאדיבה ,צוות טכנאים
נושא: שינוי מקום ישיבה בבית מניבים אבקש להעביר את עמדת המחשב של אריאל שפיר מחדר 19 לחדר 15 בבית מניבים. (קומה 3) נא לבצע את המעבר ביום חמישי 11/3 בתיאום עם אריאל- 058-4095036 ,צוות טכנאים
"היי, אבקש לתקן מייל של : יגאל גוטשל (חיצוני) yigael@mof.gov.il  ולהוסיף G   yigaelG@mof.gov.il ",צוות טכנאים
"אספקת מסך נוסף מצ""ב אישור מטל רשף יש צורך גם במפצל כיוון שאין שקע פנוי",צוות טכנאים
נושא: New case opened in Bynet Data Communication: CS0120814   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: הרשאות למחשוב - אריה שלום  שלום רב,    נא לפתוח הרשאות מחשוב לעובד אריה שלום ת.ז 316556430 (כמו של גיא משה בר / שמעון בן עמי)    מצ""ב טופס בקשת הרשאות + אישור ביטחוני    תחילת העסקתו החל מיום...",צוות טכנאים
"נושא: הרשאות למחשוב - דר בליברג  שלום רב,    נא לפתוח הרשאות מחשוב לעובדת דר בליברג ת.ז 300091014 (הרשאות כמו של רחל לייבוביץ)    מצ""ב טופס בקשת הרשאות + אישור ביטחוני    תחילת העסקתה החל מיום 04.0...",צוות טכנאים
נושא: עדכון חברי ועדה - שילה ענקי   נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il <טפסים><http://ishare/forms/_layouts/15/ClickRedirect.aspx?Tag=immediate%5fGenericList%5fSite&Target=http%3a%2...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: עדכון חברי ועדה - אלישבע ליוש   נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il <טפסים><http://ishare/forms/_layouts/15/ClickRedirect.aspx?Tag=immediate%5fGenericList%5fSite&Target=http%3a...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: עדכון חברי ועדה - זהבה אדלשטיין   נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il <טפסים><http://ishare/forms/_layouts/15/ClickRedirect.aspx?Tag=immediate%5fGenericList%5fSite&Target=http%...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: הרשאות למחשוב - מיכל שאול  שלום רב,    נא לפתוח הרשאות מחשוב לעובדת מיכל שאול ת.ז 031724974 (הרשאות כמו של שי שנהר)    מצ""ב טופס בקשת הרשאות + אישור ביטחוני    תחילת העסקתה החל מיום 8.3.2021 ...",צוות טכנאים
נושא: Case CS0120814 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb4...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: יצירת מייל לעובדת חדשה - מיכל שאול ראובן שלום רב,  האם בוצע?  בברכה, [cid:image001.png 01D616FB.C74A8380]  ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: הרשאה לכניסה ל-BI ועדות ערר    [מתן אונגר]  From: ארז בן-אליעזר Sent: Monday, March 8, 2021 11:00 AM To: אלי פנחסוב‏ <EliPi iplan.gov.il> Cc: מתן אונגר‏ <matanu iplan.gov.il>; נתנאל אלירז...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: יש בעיות גלישה. החיבור מאוד איטי . יש ביעה ?    בברכה אדר' משה אלתרמן  [2221]<mailto:moshealt iplan.gov.il> מנהל אגף רשויות רישוי, חטיבת רגולציה, מנהל התכנון ט. 074-7578266 נ. 052-4701140  ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: הוספת כתובת מייל לסורק - X8030_2 שלום רב, אודה להוספת כתובת המייל שלי: avigailp iachifa.gov.il<mailto:avigailp iachifa.gov.il>   תודה ?? [חתימה אביגיל]  ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: הרשאה לכניסה ל-BI ועדות ערר היי,  נא לתת הרשאה למתן אונגר למודול של וועדת ערר. תודה.  בברכה,  [cid:image011.png 01D5627F.46ED1990] אליהו פנחסוב רש''צ תמיכה אפליקטיבית אגף בכיר טכנולוגיות ...",7878 מרכז שירות ותמיכה טכנולוגית
לוועדה מחוזית בבאר שבע (אליהו עמרני מחר מגיע לשם) צריכה את המצלמה באופן קבוע בניין ג קומה ג חדש 3587 נושא: מצלמה למחשב ברשותי קיימת  מצלמה ישנה מאד שקיבלתי אותה עוד כשהיינו במשרד הפנים. אני מנהלת י...,צוות טכנאים
"נושא: FW: תכנית 101-0749630  שימו על לבנה ותעבירו למנחם. [cid:image011.png 01D5627F.46ED1990] אליהו פנחסוב רש''צ תמיכה אפליקטיבית אגף בכיר טכנולוגיות דיגיטליות ומידע עם ועולמו 8, ירושלים   074-7578...",צוות הדרכה והטמעה אפליקטיבי
נושא: תוצאות אחרונות של הסקר-  בקשת הרשאות לשידור חי מזום   נשלח מ- מערכת הסקרים   מכתובת מייל: survey@gov.il מצורף קובץ אקסל מכווץ המכיל את תוצאות הסקר האחרונות.\t\n ,7878 מרכז שירות ותמיכה טכנולוגית
הי הודיה הטופס לא נשמר משום מה מילאתי את כל הפרטים וזה לא נותן לשמור בשדות שבהם מופיע המייל והטלפון הנייד הטופס כותב ש״ערך זה כבר קיים ברשימה״ אנא הנחייתך הכי טוב ליצור איתי קשר בנייד 0506205743 תו...,צוות טכנאים
"נושא: RE:  תממ מודיעין -מספר חדש  היי אלכס,  לא הבנתי משהו, לא ראיתי ששרון כתבה לשנות את מספר התכנית, אלא שהיא ממשיכה כתבנית אחרת. אבל אם מדובר באותה תכנית למה לסגור? אפשר רק לשנות את השם של התכנית...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: תקלה במדפסת שבחדרי - net 67q המדפסת שבחדרי אינה תקינה:   *   ההדפסות נתקעות תוך כדי הדפסה   *   מופיע סימן שהדף ""תקוע""   *   מופיע סימן אדום מהבהב בתצוגה האם ניתן לבדוק את האפשרות להחלפת המדפ...",צוות טכנאים
"נושא: קריאה  היי,  אני צריכה למחוק את תיקיית notes8 שנמצאת בכונן I אצלי ואני לא מצליחה למחוק. אני צריכה שתמחקו בשביל שאלי יוכל לסדר לי את המאור. תודה.  [cid:image009.png 01D6D3A2.3AB1ECB0]  ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: תיקון סעיף 1.4 שלום רב, אבקש לשנות את סיווג התכנית 455-0767616 (הרחבת מצפה ספיר) בסעיף 1.4 לתכנית מתאר מפורטת.  [גיטה] בקרו אותנו באתר - http://www.iplan.gov.il<http://www.iplan.gov.il/Pages/...",צוות הדרכה והטמעה אפליקטיבי
בעיה עם העתקה של חתימה סרוקה ממסמך WORD.  ,7878 מרכז שירות ותמיכה טכנולוגית
התבקשתי על ידי מחוז מרכז לסגור את מספר התכנית תממ 2/3/ג/4 במעקב ובקרה ולפתוח במקומו מספר חדש לתכנית - תממ/52/21/3 (צילום מצורף לקריאה) רוצה שהמספר ישות יהיה : תממ/ 3/ 21/ 52 ) (במקום תממ/ 3/ 21/ 52...,צוות הדרכה והטמעה אפליקטיבי
נושא: רישום לAirWatch שלום  מבקש לבצע רישום עבורי לAirWatch   על מנת שאוכל להתקין boxer במכשיר הנייד שלי.  תודה  [sign]   ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: מבקש להתקין תכנה לכרטיס חכם  sign & verify     בברכה אדר' משה אלתרמן   ,7878 מרכז שירות ותמיכה טכנולוגית
"ביקשתי רישום לAirwatch ובאמת רשמתם אותי וקיבלתי מייל עם ברקוד. אבל בהתקנה, לאחר סריקת הברקוד, הוא מבקש ""אסימון"" (Token) – מאיפה אני מקבל את זה? אנדרואיד 10  ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: תכנית מס' 304-0837468 חפ/1332/כב הגדרת שטחים במגרש לתחנת תדלוק דור אלון פלימן - קניון חיפה מבקש לשנות את סוג התכנית (""מתכנית מפורטת"") ל""תכנית מתאר מקומית"" אדר' יוסף ברקאי יועץ בודק תכניות...",צוות הדרכה והטמעה אפליקטיבי
"נושא: בעיה עם מעקב ובקרה ראו בבקשה את ההודעה [cid:image001.jpg 01D714BF.890EB330]   בברכה,  [cid:image002.png 01D714BF.890EB330]  בקרו אותנו באתר מנהל התכנון<https://www.gov.il/he/departments/iplan>  ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: נראה לי ששוב יש בעיה עם המיילים של אריה הוכברג -----------------  קיימים לאותו איש קשר שתי כתובות מייל  ולאחר שליחה לכתובות מייל יש מייל שחוזר - שמציג שגיאה  ----  ביקשה לחזור אליה בשעה 10 וחצי ,צוות טכנאים
"נושא: סיוע עם התקלה בתיק מח ש 714 שלום בתיק הנ""ל, מסמך החלטות הוועדה והפרוטוקול מתאריך 2.3.21, אשר סומנו למנוי ולציבור - לא משתקפת באתר מנהל התכנון, וגם לא תחת פרטי הבקשה במעקב ובקרה. אודה על עזרתכ...",צוות הדרכה והטמעה אפליקטיבי
נושא: צריכה עזרה עם חיפוש של קבוצה...אדרכלי ערים מחוז תל אביב....    [cid:image001.jpg 01D714D1.1CA0A750] הוועדה המחוזית לתכנון ולבניה מחוז תל-אביב<https://www.gov.il/he/departments/topics/district...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: FW: FW: חוות דעת תכנונית מעודכנת בדבר הסמכת חברת דוראל לקדם אתר פוטו וולטאי בעמק זבולון הי, יש בעיה במסירת מייל לכתובת הבאה: דורית הוכנר<mailto:IMCEAEX-_o%3DIPLAN_ou%3DExchange%2B20Admini...",7878 מרכז שירות ותמיכה טכנולוגית
"הוספת איש קשר  אינה קיסינלקו, מהנדסת העיר אלעד: ineak@elad.muni.il  ",צוות טכנאים
נושא: תוצאות אחרונות של הסקר-  בקשת הרשאות לשידור חי מזום   נשלח מ- מערכת הסקרים   מכתובת מייל: survey@gov.il מצורף קובץ אקסל מכווץ המכיל את תוצאות הסקר האחרונות.\t\n ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: Case CS0120626 is Awaiting your Response   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a689619e6 SNC.2...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: New case opened in Bynet Data Communication: CS0121335   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a...,7878 מרכז שירות ותמיכה טכנולוגית
"שלום אבקש לשנות את שם הנמען - מ-""רחמים תנעמי"" ל:-""אלי דדון"" בכתובת המייל lishka@beitdagan.muni.il  ",צוות טכנאים
נושא: Case CS0121335 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb4...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: עדכון תואר משרה של איש קשר יש לתקן תואר משרה של אולגה גולדשמיט, במקום – מהנדס צ""ל-  סגנית מהנדסת הועדה המקומית ירוחם. olgag@ylc.org.il",צוות טכנאים
"נושא: שיוך לא נכון במערכת האאוטלוק משום מה החזרתם שוב את הפרטים הקודמים שלי באאוטלוק, אבל עברתי תפקיד ואני כבר לא בצוות ה-109, אלא ממונה על תמ""א 35 באגף לתכנון משולב (בצוות של אסנת לינדר, אם זה עוז...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: Fwd: Re: החלטה/פרוטוקול לישיבת ועדת משנה להתנגדויות בתאריך 09/03/2021 אבקש לתקן את הפרטים הנ""ל בבקשה  נשלח מ-Workspace ONE Boxer  ---------- הודעה שהועברה ---------- מאת: אופיר יחזקאלי <ofir ...",7878 מרכז שירות ותמיכה טכנולוגית
נושא:  בוקר טוב אני צריך שתמחקו לי את אירוע 4410 המסומן בצהוב בדחיפות תודה  [cid:image001.jpg 01D64F90.8FF4D340]  ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: עידן הרשקוביץ עידן עבר במינהל התכנון אך עזב למשרד הפנים יש להקים איש קשר חיצוני IdanH@moin.gov.il 050-6270817 ,צוות טכנאים
האם אוכל למשוך הקלטה מזום 3? ,7878 מרכז שירות ותמיכה טכנולוגית
"לאסף שקד יש 2 מיילים אנא את המייל הנ""ל: asaf@tikproj.co.il יש למחוק  יש להוסיף שהוא מרמ""י ואת הנייד שלו: 050-3035451  ",צוות טכנאים
"נושא: לא מצליח להיכנס למעקב ובקרה.- מקבל זיהוי משתמש או סיסמה שגויים. זו לא בעיה חדשה, אבל עכשיו אני ממש צריך שיסדרו אותה... (אומר שאולי זה קשור -יש לו 2 משתמשים 1 במעקב ובקרה והשני במערכת מבא""ת בת...",צוות הדרכה והטמעה אפליקטיבי
"נושא: אופיס הפוך בחיבור מרחוק היי, כל האופיס שלי, לרבות אאוטלוק, הפוכים – משמאל לימין. איך אפשר לסדר זאת? ניסיתי להתנתק ולהתחבר מס' פעמים ולא עזר.  תודה!  בברכה, [חתימה]  ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: שינוי מיקום העמדה בחדר שלום רב, מבקשת להעביר את עמדת המחשב והטלפון שלי באותו החדר, ממיקומה הנוכחי ליד הדלת, אל השולחן שליד (אתמול פיניתם משם את העמדה שהייתה ופונתה לאחר שאריאל סבן עזב). לא זו...",צוות טכנאים
נושא: New case opened in Bynet Data Communication: CS0121472   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a...,7878 מרכז שירות ותמיכה טכנולוגית
נושא:  פשר למחוק את הדרישה שמסומנת בצהוב  [cid:image001.jpg 01D64F90.8FF4D340]  ,צוות הדרכה והטמעה אפליקטיבי
"שלום רב  אני מעוניין להעביר את המחשב והטלפון (וכל המערכות) במשרד, בתוך החדר שבו אני עובד, אל השולחן הקרוב אל החלון.  במשך רוב השבוע אני עובד מהבית.  האם נדרשת נוכחותי בעת ביצוע ההעברה ע""י הטכנאים? ...",צוות טכנאים
"נושא: הוספת GIS גרסה 10.7.1 לשרתי החיבור מרחוק כיום הGIS בחיבור מרחוק מאפשר שימוש בגרסה 10.5 בלבד, האם ניתן לשדרג שיהיה כמו במחשב במשרד לגרסה 10.7.1 ?  בברכה, [cid:image001.jpg 01D71595.79AD4D30]  ",7878 מרכז שירות ותמיכה טכנולוגית
עזרה באחזור מיילים ,צוות טכנאים
נושא: Case CS0121472 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb4...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: העברת עמדת המחשב במשרד אל שולחן אחר באותו החדר שלום רב  בהמשך לפנייתי בנוגע להעברת המחשב, הטלפון ויתר המערכות אל השולחן הסמוך לחלון בחדר מס' 623 – ראו את אישורה של דינה דרון.  אודה על טיפ...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: סיוע בהפקת הודעות לפרסום התכנית יש לפתוח שלב בתכנית 402-0736595 -נסגר בתאריך 2019 - מצורפת תמונה,צוות הדרכה והטמעה אפליקטיבי
"נושא: FW: אישור להעברת עמדת המחשב בחדר בהמשך לפנייה I-5259483 מצורף אישורה של דינה שרון להעברת העמדה. תודה!  [cid:image004.jpg 01D715A6.FB516950]  From: דינה שרון Sent: Wednesday, March 10, 2021 12...",7878 מרכז שירות ותמיכה טכנולוגית
קריאה  חוזרת - מבקשת להתקשר אליה ולראות ביחד שהעדכון בוצע מאחר ופנתה בנושא מספר פעמים ולא מופיעה עדין - ביצענו אצלנו עדכון ספר כתובות ועדין לא מופיעה נושא: FW: עדכון פרטי מהנדסת ועדה מקומית אלעד בא...,צוות טכנאים
"נושא: שינוי חתימה - עדינה קרקו שלום רב,  אבקש סיוע בשינוי החתימה ",7878 מרכז שירות ותמיכה טכנולוגית
"היי,  מבקשת להוסיף לרשימת אנשי הקשר את אבי אגניהו | יו""ר ועדה מרחבית מעלה הגליל | 073-3320444 | 050-3323839 | aviag@moin.gov.il  תודה. ",צוות טכנאים
נושא: תוצאות אחרונות של הסקר-  בקשת הרשאות לשידור חי מזום   נשלח מ- מערכת הסקרים   מכתובת מייל: survey@gov.il מצורף קובץ אקסל מכווץ המכיל את תוצאות הסקר האחרונות.\t\n ,7878 מרכז שירות ותמיכה טכנולוגית
לא מצליחה לשלוח מייל לאיש קשר ,צוות טכנאים
"נושא: הודעה קבועה כשעולה מעקב ובקרה 10.53.166.129 ip  מחשב  תוכן ההודעה: ""לתשומת ליבך לתוכנית זו הוגשו עתירות.."" (מצורף צילום) ",צוות הדרכה והטמעה אפליקטיבי
"נושא: FW: תכנית 101-0762708   שלום רב, נא לשנות את סוג התכנית למתאר מקומית. תודה רבה,   [cid:image001.jpg 01D715C0.B2C70310]  ",צוות הדרכה והטמעה אפליקטיבי
"נושא: שכפול תצוגה ב CRM  שלום רב,  אודה לקבל עזרה היכן אני יכול לשקפל רשומה  ( תצוגה )  במערכת CRM ואיך להעביר אותה לעובדים אחרים . ברצוני לשכפל תצוגה אישית בשם תקלות פתוחות ביחידה ולהעביר אותה לכל...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: תיקונים באנשי קשר שלום רב, איש הקשר אביעד מור (חיצוני) מכיל את הנייד של ליטל שלף דורי (אדריכלית עיריית נתניה). אשמח אם ניתן יהיה להקים איש קשר לליטל ובמקרה של אביעד לשנות למספר הנייד הבא: 052...",צוות טכנאים
"שינויים: טויסטר טויסטר עופר טויסטר (חיצוני) meital@toister.co.il    לשנות ל מיטל טויסטר, עו""ד (חיצוני) טויסטר טויסטר עפר (חיצוני) <sigalit@toister.co.il> לשנות ל סיגלית ממשרד עו""ד טויסטר (חיצוני) ה...",צוות טכנאים
נושא: Case CS0120626 is Awaiting your Response   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a689619e6 SNC.e...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: החתמה דיגיטאלית במו""ב - תתל 109 שלום  אשמח לעזרתכם – התכנית לא נשלפת לי להחתמה  תתל/ 109 סעיף-77-78  תודה  אפרת 0506270927 [אפרת ויסלר]  ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: לפתוח אירוע 1047 בתכנית 412-0769943- תודה [cid:image001.png 01D7165A.222CAD60] ,7878 מרכז שירות ותמיכה טכנולוגית
"אבקש לפתוח שם משתמש לעובדת הודיה גניש – רכזת ועדת ערער בלוד. כמו כן לתת לה הרשאות כמו לקסם ביק, ממונה ישיר – יפית כרפסי מועד תחילת ההעסקה – 14/03/21 מחוז - מרכז מנהל ישיר - חופית שטינברגר תפקיד- רכ...",צוות טכנאים
"נושא: הודיה גניש - פתיחת שם משתמש    בוקר אור ,  אבקש לפתוח שם משתמש לעובדת הודיה גניש – תפקידה רכזת ועדת ערער בלוד. כמו כן לתת לה הרשאות כמו לקסם ביק,   ממונה ישיר – יפית כרפסי מועד תחילת ההעסקה –...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: בקשה לשינוי סוג תכנית 355-0859355 טירת הכרמל - מתחם הרב קוק תאי שטח 101-103 היי,  מבקש לשנות את סוג התכנית מ""תכנית מפורטת"" ל - ""תכנית מתאר מקומית""   [cid:image011.png 01D5627F.46ED1990] אדר' ...",צוות הדרכה והטמעה אפליקטיבי
